League,Division,Year,Position,Team,Team_id,Points,Played,Win,Draw,Lose,GoalsDiff,GoalsFor,GoalsAgainst,NationalRank
Bundesliga,1,2010,1,Borussia Dortmund,165,75,34,23,6,5,45,67,22,1
Bundesliga,1,2010,2,Bayer Leverkusen,168,68,34,20,8,6,20,64,44,2
Bundesliga,1,2010,3,Bayern Munich,157,65,34,19,8,7,41,81,40,3
Bundesliga,1,2010,4,Hannover 96,166,60,34,19,3,12,4,49,45,4
Bundesliga,1,2010,5,FSV Mainz 05,164,58,34,18,4,12,13,52,39,5
Bundesliga,1,2010,6,FC Nurnberg,171,47,34,13,8,13,2,47,45,6
Bundesliga,1,2010,7,FC Kaiserslautern,745,46,34,13,7,14,-3,48,51,7
Bundesliga,1,2010,8,Hamburger SV,175,45,34,12,9,13,-6,46,52,8
Bundesliga,1,2010,9,SC Freiburg,160,44,34,13,5,16,-9,41,50,9
Bundesliga,1,2010,10,FC Koln,192,44,34,13,5,16,-15,47,62,10
Bundesliga,1,2010,11,1899 Hoffenheim,167,43,34,11,10,13,0,50,50,11
Bundesliga,1,2010,12,VfB Stuttgart,172,42,34,12,6,16,1,60,59,12
Bundesliga,1,2010,13,Werder Bremen,162,41,34,10,11,13,-14,47,61,13
Bundesliga,1,2010,14,FC Schalke 04,174,40,34,11,7,16,-6,38,44,14
Bundesliga,1,2010,15,VfL Wolfsburg,161,38,34,9,11,14,-5,43,48,15
Bundesliga,1,2010,16,Borussia Monchengladbach,163,36,34,10,6,18,-17,48,65,16
Bundesliga,1,2010,17,Eintracht Frankfurt,169,34,34,9,7,18,-18,31,49,17
Bundesliga,1,2010,18,FC St. Pauli,186,29,34,8,5,21,-33,35,68,18
Bundesliga,1,2011,1,Borussia Dortmund,165,81,34,25,6,3,55,80,25,1
Bundesliga,1,2011,2,Bayern Munich,157,73,34,23,4,7,55,77,22,2
Bundesliga,1,2011,3,FC Schalke 04,174,64,34,20,4,10,30,74,44,3
Bundesliga,1,2011,4,Borussia Monchengladbach,163,60,34,17,9,8,25,49,24,4
Bundesliga,1,2011,5,Bayer Leverkusen,168,54,34,15,9,10,8,52,44,5
Bundesliga,1,2011,6,VfB Stuttgart,172,53,34,15,8,11,17,63,46,6
Bundesliga,1,2011,7,Hannover 96,166,48,34,12,12,10,-4,41,45,7
Bundesliga,1,2011,8,VfL Wolfsburg,161,44,34,13,5,16,-13,47,60,8
Bundesliga,1,2011,9,Werder Bremen,162,42,34,11,9,14,-9,49,58,9
Bundesliga,1,2011,10,FC Nurnberg,171,42,34,12,6,16,-11,38,49,10
Bundesliga,1,2011,11,1899 Hoffenheim,167,41,34,10,11,13,-6,41,47,11
Bundesliga,1,2011,12,SC Freiburg,160,40,34,10,10,14,-16,45,61,12
Bundesliga,1,2011,13,FSV Mainz 05,164,39,34,9,12,13,-4,47,51,13
Bundesliga,1,2011,14,FC Augsburg,170,38,34,8,14,12,-13,36,49,14
Bundesliga,1,2011,15,Hamburger SV,175,36,34,8,12,14,-22,35,57,15
Bundesliga,1,2011,16,Hertha Berlin,159,31,34,7,10,17,-26,38,64,16
Bundesliga,1,2011,17,FC Koln,192,30,34,8,6,20,-36,39,75,17
Bundesliga,1,2011,18,FC Kaiserslautern,745,23,34,4,11,19,-30,24,54,18
Bundesliga_2,2,2011,1,SpVgg Greuther Furth,178,70,34,20,10,4,46,73,27,19
Bundesliga_2,2,2011,2,Eintracht Frankfurt,169,68,34,20,8,6,43,76,33,20
Bundesliga_2,2,2011,3,Fortuna Dusseldorf,158,62,34,16,14,4,29,64,35,21
Bundesliga_2,2,2011,4,FC St. Pauli,186,62,34,18,8,8,25,59,34,22
Bundesliga_2,2,2011,5,SC Paderborn 07,185,61,34,17,10,7,9,51,42,23
Bundesliga_2,2,2011,6,TSV 1860 Munich,786,57,34,17,6,11,16,62,46,24
Bundesliga_2,2,2011,7,Union Berlin,182,48,34,14,6,14,-3,55,58,25
Bundesliga_2,2,2011,8,Eintracht Braunschweig,744,45,34,10,15,9,2,37,35,26
Bundesliga_2,2,2011,9,Dynamo Dresden,183,45,34,12,9,13,-2,50,52,27
Bundesliga_2,2,2011,10,MSV Duisburg,187,39,34,10,9,15,-5,42,47,28
Bundesliga_2,2,2011,11,VfL BOCHUM,176,37,34,10,7,17,-14,41,55,29
Bundesliga_2,2,2011,12,FC Ingolstadt 04,184,37,34,8,13,13,-15,43,58,30
Bundesliga_2,2,2011,13,FSV Frankfurt,1332,35,34,7,14,13,-16,43,59,31
Bundesliga_2,2,2011,14,Energie Cottbus,1320,35,34,8,11,15,-19,30,49,32
Bundesliga_2,2,2011,15,Erzgebirge AUE,190,35,34,8,11,15,-24,31,55,33
Bundesliga_2,2,2011,16,Karlsruher SC,785,33,34,9,6,19,-26,34,60,34
Bundesliga_2,2,2011,17,Alemannia Aachen,4259,31,34,6,13,15,-17,30,47,35
Bundesliga_2,2,2011,18,Hansa Rostock,1321,27,34,5,12,17,-29,34,63,36
Bundesliga_3,3,2011,1,SV Sandhausen,189,66,38,19,9,10,15,57,42,37
Bundesliga_3,3,2011,2,VfR Aalen,1327,64,38,18,10,10,8,50,42,38
Bundesliga_3,3,2011,3,Jahn Regensburg,177,61,38,16,13,9,14,55,41,39
Bundesliga_3,3,2011,4,FC Heidenheim,180,60,38,16,12,10,12,48,36,40
Bundesliga_3,3,2011,5,Rot-weiss Erfurt,1329,59,38,15,14,9,13,54,41,41
Bundesliga_3,3,2011,6,Wacker Burghausen,9337,57,38,13,18,7,8,55,47,42
Bundesliga_3,3,2011,7,VfL Osnabruck,1324,55,38,14,13,11,11,46,35,43
Bundesliga_3,3,2011,8,Kickers Offenbach,1628,55,38,15,10,13,8,49,41,44
Bundesliga_3,3,2011,9,Chemnitzer FC,1328,55,38,15,10,13,4,47,43,45
Bundesliga_3,3,2011,10,FC Saarbrucken,1639,54,38,13,15,10,10,61,51,46
Bundesliga_3,3,2011,11,Stuttgart II,12867,50,38,12,14,12,-3,44,47,47
Bundesliga_3,3,2011,12,Preussen Munster,1313,50,38,12,14,12,-4,40,44,48
Bundesliga_3,3,2011,13,Arminia Bielefeld,188,50,38,12,14,12,-6,51,57,49
Bundesliga_3,3,2011,14,SV Darmstadt 98,181,49,38,12,13,13,4,51,47,50
Bundesliga_3,3,2011,15,SpVgg Unterhaching,1314,44,38,12,8,18,4,63,59,51
Bundesliga_3,3,2011,16,SV Wehen,1319,44,38,10,14,14,-8,40,48,52
Bundesliga_3,3,2011,17,SV Babelsberg 03,1622,44,38,11,11,16,-15,44,59,53
Bundesliga_3,3,2011,18,Carl Zeiss Jena,1325,39,38,9,12,17,-20,39,59,54
Bundesliga_3,3,2011,19,Rot-weiss Oberhausen,1658,38,38,8,14,16,-14,33,47,55
Bundesliga_3,3,2011,20,Werder Bremen II,1330,22,38,4,10,24,-41,29,70,56
Bundesliga,1,2012,1,Bayern Munich,157,91,34,29,4,1,80,98,18,1
Bundesliga,1,2012,2,Borussia Dortmund,165,66,34,19,9,6,39,81,42,2
Bundesliga,1,2012,3,Bayer Leverkusen,168,65,34,19,8,7,26,65,39,3
Bundesliga,1,2012,4,FC Schalke 04,174,55,34,16,7,11,8,58,50,4
Bundesliga,1,2012,5,SC Freiburg,160,51,34,14,9,11,5,45,40,5
Bundesliga,1,2012,6,Eintracht Frankfurt,169,51,34,14,9,11,3,49,46,6
Bundesliga,1,2012,7,Hamburger SV,175,48,34,14,6,14,-11,42,53,7
Bundesliga,1,2012,8,Borussia Monchengladbach,163,47,34,12,11,11,-4,45,49,8
Bundesliga,1,2012,9,Hannover 96,166,45,34,13,6,15,-2,60,62,9
Bundesliga,1,2012,10,FC Nurnberg,171,44,34,11,11,12,-8,39,47,10
Bundesliga,1,2012,11,VfL Wolfsburg,161,43,34,10,13,11,-5,47,52,11
Bundesliga,1,2012,12,VfB Stuttgart,172,43,34,12,7,15,-18,37,55,12
Bundesliga,1,2012,13,FSV Mainz 05,164,42,34,10,12,12,-2,42,44,13
Bundesliga,1,2012,14,Werder Bremen,162,34,34,8,10,16,-16,50,66,14
Bundesliga,1,2012,15,FC Augsburg,170,33,34,8,9,17,-18,33,51,15
Bundesliga,1,2012,16,1899 Hoffenheim,167,31,34,8,7,19,-25,42,67,16
Bundesliga,1,2012,17,Fortuna Dusseldorf,158,30,34,7,9,18,-18,39,57,17
Bundesliga,1,2012,18,SpVgg Greuther Furth,178,21,34,4,9,21,-34,26,60,18
Bundesliga_2,2,2012,1,Hertha Berlin,159,76,34,22,10,2,37,65,28,19
Bundesliga_2,2,2012,2,Eintracht Braunschweig,744,67,34,19,10,5,18,52,34,20
Bundesliga_2,2,2012,3,FC Kaiserslautern,745,58,34,15,13,6,22,55,33,21
Bundesliga_2,2,2012,4,FSV Frankfurt,1332,54,34,16,6,12,10,55,45,22
Bundesliga_2,2,2012,5,FC Koln,192,54,34,14,12,8,10,43,33,23
Bundesliga_2,2,2012,6,TSV 1860 Munich,786,49,34,12,13,9,8,39,31,24
Bundesliga_2,2,2012,7,Union Berlin,182,49,34,13,10,11,1,50,49,25
Bundesliga_2,2,2012,8,Energie Cottbus,1320,48,34,12,12,10,5,41,36,26
Bundesliga_2,2,2012,9,VfR Aalen,1327,46,34,12,10,12,1,40,39,27
Bundesliga_2,2,2012,10,FC St. Pauli,186,43,34,11,10,13,-3,44,47,28
Bundesliga_2,2,2012,11,MSV Duisburg,187,43,34,11,10,13,-12,37,49,29
Bundesliga_2,2,2012,12,SC Paderborn 07,185,42,34,11,9,14,0,45,45,30
Bundesliga_2,2,2012,13,FC Ingolstadt 04,184,42,34,10,12,12,-7,36,43,31
Bundesliga_2,2,2012,14,VfL BOCHUM,176,38,34,10,8,16,-12,40,52,32
Bundesliga_2,2,2012,15,Erzgebirge AUE,190,37,34,9,10,15,-7,39,46,33
Bundesliga_2,2,2012,16,Dynamo Dresden,183,37,34,9,10,15,-14,35,49,34
Bundesliga_2,2,2012,17,SV Sandhausen,189,26,34,6,8,20,-28,38,66,35
Bundesliga_2,2,2012,18,Jahn Regensburg,177,19,34,4,7,23,-29,36,65,36
Bundesliga_3,3,2012,1,Karlsruher SC,785,79,38,23,10,5,42,69,27,37
Bundesliga_3,3,2012,2,Arminia Bielefeld,188,76,38,22,10,6,27,59,32,38
Bundesliga_3,3,2012,3,VfL Osnabruck,1324,73,38,22,7,9,29,64,35,39
Bundesliga_3,3,2012,4,Preussen Munster,1313,72,38,20,12,6,30,63,33,40
Bundesliga_3,3,2012,5,FC Heidenheim,180,72,38,21,9,8,22,69,47,41
Bundesliga_3,3,2012,6,Chemnitzer FC,1328,55,38,15,10,13,9,56,47,42
Bundesliga_3,3,2012,7,SV Wehen,1319,51,38,11,18,9,0,51,51,43
Bundesliga_3,3,2012,8,Wacker Burghausen,9337,51,38,14,9,15,0,45,45,44
Bundesliga_3,3,2012,9,SpVgg Unterhaching,1314,51,38,14,9,15,-7,48,55,45
Bundesliga_3,3,2012,10,Hallescher FC,1316,46,38,12,10,16,-13,37,50,46
Bundesliga_3,3,2012,11,FC Saarbrucken,1639,45,38,12,9,17,-10,52,62,47
Bundesliga_3,3,2012,12,Hansa Rostock,1321,44,38,11,11,16,-13,39,52,48
Bundesliga_3,3,2012,13,Rot-weiss Erfurt,1329,44,38,11,11,16,-14,44,58,49
Bundesliga_3,3,2012,14,Stuttgart II,12867,43,38,11,10,17,-7,35,42,50
Bundesliga_3,3,2012,15,Kickers Offenbach,1628,42,38,11,11,16,-3,41,44,51
Bundesliga_3,3,2012,16,Borussia Dortmund II,9367,41,38,9,14,15,-19,39,58,52
Bundesliga_3,3,2012,17,Stuttgarter Kickers,12868,40,38,10,10,18,-9,39,48,53
Bundesliga_3,3,2012,18,SV Darmstadt 98,181,38,38,8,14,16,-14,32,46,54
Bundesliga_3,3,2012,19,SV Babelsberg 03,1622,37,38,9,10,19,-22,32,54,55
Bundesliga_3,3,2012,20,Alemannia Aachen,4259,26,38,7,10,21,-28,40,68,56
Bundesliga,1,2013,1,Bayern Munich,157,90,34,29,3,2,71,94,23,1
Bundesliga,1,2013,2,Borussia Dortmund,165,71,34,22,5,7,42,80,38,2
Bundesliga,1,2013,3,FC Schalke 04,174,64,34,19,7,8,20,63,43,3
Bundesliga,1,2013,4,Bayer Leverkusen,168,61,34,19,4,11,19,60,41,4
Bundesliga,1,2013,5,VfL Wolfsburg,161,60,34,18,6,10,13,63,50,5
Bundesliga,1,2013,6,Borussia Monchengladbach,163,55,34,16,7,11,16,59,43,6
Bundesliga,1,2013,7,FSV Mainz 05,164,53,34,16,5,13,-2,52,54,7
Bundesliga,1,2013,8,FC Augsburg,170,52,34,15,7,12,0,47,47,8
Bundesliga,1,2013,9,1899 Hoffenheim,167,44,34,11,11,12,2,72,70,9
